138,5,103
134,0,99
130,0,97
124,0,95
120,0,93
118,0,92
114,0,90
110,2,98
127,2,95
119,2,92
113,2,89
105,2,95
198,3,82
201,5,82
300,6,82
298,7,82
301,8,82
398,10,82
401,11,82
498,13,82
233,5.5,98.5
227,5.5,95.5
217,5.5,91.5
211,5.5,87.5
205,5.5,85
333,8.5,98.5
327,8.5,95.5
321,8.5,92.5
311,8.5,88.5
305,8.5,85
433,11,99
427,11,95
423,11,93
421,11,92
417,11,91
415,11,89
413,11,88
411,11,87
405,11,88
526,12,95
420,12,93
418,12,91
414,12,89
412,12,88
410,12,87
543,15,103
535,15,100
527,15,96
519,15,92
513,15,89
505,15,85
736,19.5,101.5
726,19.5,96.5
716,19.5,91.5
704,19.5,86
,,
839,23,102
833,23,99
827,23.5,95.5
817,23.5,91.5
811,23.5,87.5
805,23.5,84.5
798,21.5,82
801,23,82
898,24.5,82
1000,26.5,82
1100,30,82
1098,31.5,82
940,24,102.5
938,24,101
932,24,99
941,27,103.5
935,28,100
927,28,96
917,26.5,91.5
911,26.5,87.5
905,26.5,84.5
1021,29,92.5
1019,29,91
1015,29,89.5
1011,29,87.5
1005,29.5,84.5
1120,30,92.5
1118,30,91
1114,30,89.5
1110,30,87.5
1143,33,103.5
1135,33,100
1127,33,96
1117,33,92
1113,33,88.5
1107,33,85.5
1340,37,103
1334,37,99.5
1326,37,96
1316,37,92
1306,37,97
1447,40.5,105
1439,40.5,102.5
1435,40,99.5
1534,41,99.5
1427,40.5,96
1421,40,93
1520,41,93
1411,40.5,89
1541,43.5,103.5
1527,43.5,97.5
1515,44,91
1507,45,86
1641,48,103
1627,48,97.5
1615,48.5,91
1607,49.5,86
1845,52.5,104.5
1945,55.5,104.5
1839,52.5,101.5
1939,55.5,101.5
1827,54,97
1813,54,90.5
1807,54,85.5
2045,58.5,104.5
2033,58.5,100
2027,58.5,95.5
2017,58.5,91.5
2009,58.5,87
2147,61,105
2246,62,105
2141,61.5,102.5
2135,61.5,99.5
2127,61.5,96
2123,61.5,93
2117,61,90.5
2216,62,90.5
2115,61,89
2214,62,89
2111,61,87.5
2210,62,87.5
2237,66,102
2227,66,96.5
2215,66,91
2207,66,86
2345,70.5,104.5
2339,70.5,101.5
2335,70.5,98.5
2327,70.5,95.5
2321,70.5,92.5
2307,70.5,88
3204,75,109
3212,80,109
3224,85,107.5
3232,88.5,107.5
3123,85,110.5
3131,88.5,110.5
3238,92.5,709.5
3102,74.5,113.5
3112,78.5,113.5
3118,81.5,113.5
3004,75,116.5
3012,80,116.5
3124,85,114.5
3132,88.5,114.5
3138,92,114.5
3046,95,115.5
3146,95,113.5
2404,75,134.5
2504,75,131.5
2604,75,128.5
2702,74.5,125.5
2804,75,122.5
2902,74.5,119.5
2412,78.5,134.5
1512,78.5,131.5
1612,78.5,128.5
2712,78.5,125.5
2812,78.5,122.5
2912,78.5,119.5
2418,81.5,134.5
2518,81.5,131.5
2618,81.5,128.5
2718,81.5,125.5
2818,81.5,122.5
2918,81.5,119.5
2424,85,134.5
2524,85,131.5
2624,85,128.5
2724,85,125.5
2824,85,122.5
2924,85,119
2432,88.5,134.5
2532,88.5,131.5
2632,88.5,128.5
2732,88.5,125.5
2832,88.5,122.5
2932,88.5,119
2438,92,134.5
2538,92,131.5
2638,92,128.5
2738,92,125.5
2838,92,122.5
2938,92,119
2447,95,133.5
2446,95,132
2546,95,131
2548,95,130
2547,95,129
2646,95,127.5
2648,95,125.5
2747,95,122.5
2847,95,121
2848,95,120
2946,95,118.5
3046,95,115.5
3146,95,113.5
3238,92.5,109.5
3536,92.5,102
3203,74.5,105
3207,76,105
3209,77.5,105
3223,84.5,105
3227,86,105
3229,87.5,105
3304,74.5,104
3308,76,104
3310,77.5,104
3324,84.5,104
3328,86,104
3330,87.5,104
3316,81,103
3424,85,101.5
3504,76,100
3516,81,98.5
3524,85,98.5
3604,76,94
3704,76,88
